date,year,month_num,month,inflation_type,source_type,value
1992-12-01,1992,12,декабрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,125.2
1993-01-01,1993,1,январь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,129.0
1993-01-01,1993,1,январь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,116.31
1993-01-01,1993,1,январь,services,Индексы потребительских цен на услуги по Российской Федерации,150.0
1993-01-01,1993,1,январь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,125.8
1993-02-01,1993,2,февраль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,124.78
1993-02-01,1993,2,февраль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,122.81
1993-02-01,1993,2,февраль,services,Индексы потребительских цен на услуги по Российской Федерации,132.0
1993-02-01,1993,2,февраль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,124.7
1993-03-01,1993,3,март,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,118.3
1993-03-01,1993,3,март,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,120.62
1993-03-01,1993,3,март,services,Индексы потребительских цен на услуги по Российской Федерации,128.79
1993-03-01,1993,3,март,total,Индексы потребительских цен на товары и услуги по Российской Федерации,120.1
1993-04-01,1993,4,апрель,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,116.1
1993-04-01,1993,4,апрель,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,117.82
1993-04-01,1993,4,апрель,services,Индексы потребительских цен на услуги по Российской Федерации,140.0
1993-04-01,1993,4,апрель,total,Индексы потребительских цен на товары и услуги по Российской Федерации,118.7
1993-05-01,1993,5,май,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,116.2
1993-05-01,1993,5,май,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,115.47
1993-05-01,1993,5,май,services,Индексы потребительских цен на услуги по Российской Федерации,134.8
1993-05-01,1993,5,май,total,Индексы потребительских цен на товары и услуги по Российской Федерации,118.1
1993-06-01,1993,6,июнь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,122.7
1993-06-01,1993,6,июнь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,116.45
1993-06-01,1993,6,июнь,services,Индексы потребительских цен на услуги по Российской Федерации,117.3
1993-06-01,1993,6,июнь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,119.9
1993-07-01,1993,7,июль,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,122.51
1993-07-01,1993,7,июль,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,119.22
1993-07-01,1993,7,июль,services,Индексы потребительских цен на услуги по Российской Федерации,129.29
1993-07-01,1993,7,июль,total,Индексы потребительских цен на товары и услуги по Российской Федерации,122.39
1993-08-01,1993,8,август,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,122.57
1993-08-01,1993,8,август,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,121.02
1993-08-01,1993,8,август,services,Индексы потребительских цен на услуги по Российской Федерации,149.78
1993-08-01,1993,8,август,total,Индексы потребительских цен на товары и услуги по Российской Федерации,126.0
1993-09-01,1993,9,сентябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,123.7
1993-09-01,1993,9,сентябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,122.32
1993-09-01,1993,9,сентябрь,services,Индексы потребительских цен на услуги по Российской Федерации,124.8
1993-09-01,1993,9,сентябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,123.0
1993-10-01,1993,10,октябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,118.5
1993-10-01,1993,10,октябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,119.33
1993-10-01,1993,10,октябрь,services,Индексы потребительских цен на услуги по Российской Федерации,124.3
1993-10-01,1993,10,октябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,119.5
1993-11-01,1993,11,ноябрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,115.89
1993-11-01,1993,11,ноябрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,115.62
1993-11-01,1993,11,ноябрь,services,Индексы потребительских цен на услуги по Российской Федерации,123.0
1993-11-01,1993,11,ноябрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,116.39
1993-12-01,1993,12,декабрь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,112.54
1993-12-01,1993,12,декабрь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,111.61
1993-12-01,1993,12,декабрь,services,Индексы потребительских цен на услуги по Российской Федерации,115.6
1993-12-01,1993,12,декабрь,total,Индексы потребительских цен на товары и услуги по Российской Федерации,112.5
1994-01-01,1994,1,январь,food,Индексы потребительских цен на продовольственные товары по Российской Федерации,121.0
1994-01-01,1994,1,январь,non_food,Индексы потребительских цен на непродовольственные товары по Российской Федерации,110.7
1994-01-01,1994,1,январь,services,Индексы потребительских цен на услуги по Российской Федерации,137.72
